2010 Population,% Foreign Born,Median Household Income,Below Poverty Level,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Retail Sales per Capita,Land Area (Square Miles),Population per Square Mile,% Person under 5 years,% Persons under 18 years,% Persons 65 and older,% Female Persons,% White,% Black African,% Asian,% Hispanic,"('Votes', ' No Preference')","('Votes', ' Uncommitted')","('Votes', 'Ben Carson')","('Votes', 'Bernie Sanders')","('Votes', 'Carly Fiorina')","('Votes', 'Chris Christie')","('Votes', 'Donald Trump')","('Votes', 'Hillary Clinton')","('Votes', 'Jeb Bush')","('Votes', 'John Kasich')","('Votes', 'Marco Rubio')","('Votes', ""Martin O'Malley"")","('Votes', 'Mike Huckabee')","('Votes', 'Rand Paul')","('Votes', 'Rick Santorum')","('Votes', 'Ted Cruz')"
79303,2.1,54766,13.4,9.1,0.0,0.0,28.3,7982,618.49,128.2,5.9,23.0,14.0,51.5,76.0,21.2,0.7,2.7,0,0,2630,694,0,0,8525,3019,0,634,2387,0,0,0,0,3236
38319,0.6,30687,25.4,9.0,0.0,0.0,21.3,10089,945.08,40.5,6.1,22.0,16.7,48.8,62.2,32.4,0.3,2.1,0,0,585,226,0,0,2817,2027,0,194,1028,0,0,0,0,978
104430,2.2,38013,19.0,6.1,0.0,0.6,25.7,10801,534.99,195.2,5.7,22.1,17.3,51.6,81.2,15.5,0.8,3.7,0,0,2098,1289,0,0,8657,4262,0,616,3155,0,0,0,0,3891
17241,0.6,33838,19.9,5.1,0.0,0.0,24.3,7433,627.66,27.5,5.4,21.7,19.6,50.5,86.2,11.9,0.3,1.4,0,0,488,148,0,0,2479,660,0,124,663,0,0,0,0,1043
31704,8.4,36415,21.9,0.0,0.0,0.0,23.2,8786,633.82,50.0,6.6,24.3,15.9,50.3,91.9,4.6,0.4,16.1,0,0,388,767,0,0,2155,1233,0,107,562,0,0,0,0,892
26790,1.8,35625,21.2,0.0,0.0,0.0,0.0,6612,574.41,46.6,5.8,22.2,19.2,50.8,87.1,9.7,0.4,3.6,0,0,592,157,0,0,3106,544,0,146,829,0,0,0,0,1517
9045,0.2,24226,32.9,60.3,0.0,0.0,36.1,3697,647.11,14.0,5.9,23.3,17.9,52.5,18.5,80.5,0.2,1.0,0,0,19,213,0,0,147,2714,0,10,33,0,0,0,0,59
15760,1.2,30051,26.6,0.0,0.0,0.0,0.0,4794,643.94,24.5,6.2,23.3,17.3,52.8,40.8,58.1,0.3,1.3,0,0,88,427,0,0,590,2426,0,24,132,0,0,0,0,283
17302,2.9,41650,14.4,0.0,0.0,0.0,18.2,5559,561.75,30.8,5.5,21.2,20.8,51.8,70.4,27.3,0.7,2.6,0,0,436,163,0,0,1778,1170,0,107,545,0,0,0,0,847
101547,2.4,40948,18.0,12.1,1.4,1.3,25.5,19608,579.82,175.1,6.2,23.7,16.1,52.1,70.0,26.7,0.9,3.3,0,0,2310,780,0,0,8171,3044,0,836,3683,0,0,0,0,4558
53227,2.2,37634,16.0,0.0,0.0,0.0,26.8,7784,1077.87,49.4,5.4,21.7,18.6,50.7,91.5,3.6,0.5,2.9,0,0,1185,510,0,0,5463,1327,0,310,1847,0,0,0,0,1791
658466,4.1,45429,18.0,23.4,2.4,1.3,29.8,16730,1111.28,592.5,6.6,23.1,14.3,52.8,54.0,42.9,1.6,3.8,0,0,8368,14319,0,0,32853,67357,0,5711,23132,0,0,0,0,22355
14564,0.6,36028,22.3,0.0,0.0,0.0,25.8,4887,604.85,24.1,5.0,21.7,20.5,51.2,87.1,11.3,0.1,1.4,0,0,344,173,0,0,1810,442,0,103,466,0,0,0,0,692
