2010 Population,% Foreign Born,Median Household Income,Below Poverty Level,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Retail Sales per Capita,Land Area (Square Miles),Population per Square Mile,% Person under 5 years,% Persons under 18 years,% Persons 65 and older,% Female Persons,% White,% Black African,% Asian,% Hispanic,"('Votes', ' No Preference')","('Votes', ' Uncommitted')","('Votes', 'Ben Carson')","('Votes', 'Bernie Sanders')","('Votes', 'Carly Fiorina')","('Votes', 'Chris Christie')","('Votes', 'Donald Trump')","('Votes', 'Hillary Clinton')","('Votes', 'Jeb Bush')","('Votes', 'John Kasich')","('Votes', 'Marco Rubio')","('Votes', ""Martin O'Malley"")","('Votes', 'Mike Huckabee')","('Votes', 'Rand Paul')","('Votes', 'Rick Santorum')","('Votes', 'Ted Cruz')"
68894,1.4,55354,11.5,0.0,1.5,0.0,0.0,8378,403.97,170.5,5.6,23.6,15.1,50.4,97.5,0.5,0.6,1.4,0,0,0,2158,0,0,10235,1600,0,941,0,0,0,0,0,5885
14244,2.0,50262,11.2,0.0,0.0,0.0,0.0,6901,401.76,35.5,5.1,22.2,17.7,49.0,97.4,0.7,0.3,5.9,0,0,0,521,0,0,1814,434,0,206,0,0,0,0,0,725
47536,4.9,47117,14.2,0.0,0.0,1.9,26.1,7491,410.84,115.7,6.4,25.7,14.6,50.1,97.3,0.8,0.5,10.1,0,0,0,1274,0,0,4422,1134,0,578,0,0,0,0,0,3706
6128,0.2,50377,8.3,0.0,0.0,0.0,0.0,4068,86.14,71.1,4.7,20.0,19.6,50.2,98.1,0.5,0.4,1.2,0,0,0,178,0,0,786,248,0,91,0,0,0,0,0,299
19840,0.4,38826,17.9,0.0,0.0,0.0,0.0,7812,398.39,49.8,5.5,23.4,17.5,50.2,96.9,1.1,0.4,1.3,0,0,0,661,0,0,2574,603,0,248,0,0,0,0,0,1223
21575,1.1,43950,14.0,0.0,0.0,0.0,18.6,4750,385.29,56.0,4.7,21.8,17.3,49.7,97.5,0.5,0.5,1.3,0,0,0,1056,0,0,2679,631,0,165,0,0,0,0,0,1217
17339,1.2,43870,13.3,0.0,0.0,0.0,0.0,4932,444.66,39.0,6.0,21.6,17.1,53.1,95.9,2.6,0.2,1.3,0,0,0,539,0,0,1996,392,0,142,0,0,0,0,0,921
19338,0.4,47596,10.9,0.0,0.0,0.0,27.7,8097,381.73,50.7,5.5,20.9,16.6,46.2,95.5,2.9,0.5,1.3,0,0,0,1114,0,0,1642,1358,0,166,0,0,0,0,0,606
12845,0.4,40680,12.7,0.0,0.0,0.0,0.0,4449,334.24,38.4,5.4,21.9,19.0,49.6,98.1,0.6,0.2,1.3,0,0,0,625,0,0,1649,526,0,122,0,0,0,0,0,821
164343,3.7,62794,10.4,1.4,1.5,3.1,29.2,12188,418.15,393.0,5.5,22.8,14.4,50.9,92.8,3.8,1.5,9.5,0,0,0,13344,0,0,16194,9466,0,2359,0,0,0,0,0,7073
25910,1.1,58750,9.9,0.0,0.0,0.0,25.1,10225,409.57,63.3,5.8,22.8,16.2,50.3,97.3,1.0,0.4,1.1,0,0,0,1378,0,0,3159,1117,0,322,0,0,0,0,0,1696
13402,0.8,44764,14.0,0.0,0.0,0.0,22.6,8175,433.65,30.9,5.4,22.8,17.8,49.3,97.2,0.9,0.2,2.9,0,0,0,473,0,0,1668,351,0,192,0,0,0,0,0,1042
37963,1.8,50821,9.7,0.0,0.0,0.0,0.0,8367,480.53,79.0,4.7,19.6,15.2,47.0,93.3,4.2,1.0,1.9,0,0,0,1189,0,0,4087,974,0,309,0,0,0,0,0,2737
26171,0.9,40904,17.4,0.0,0.0,0.0,27.7,10588,452.38,57.9,5.9,23.6,18.6,50.8,97.4,0.7,0.3,3.2,0,0,0,887,0,0,2939,705,0,350,0,0,0,0,0,1840
28818,1.4,47537,9.4,0.0,0.0,0.0,0.0,9347,446.43,64.6,6.0,24.3,16.9,50.7,97.6,0.4,0.7,1.7,0,0,0,690,0,0,3694,674,0,641,0,0,0,0,0,1442
17392,0.5,47401,15.4,0.0,0.0,0.0,24.5,6468,408.12,42.6,5.6,23.3,17.4,50.6,97.4,1.0,0.4,1.4,0,0,0,561,0,0,2362,417,0,255,0,0,0,0,0,1457
266931,5.7,44582,17.7,6.5,1.7,1.9,26.7,13831,457.85,583.0,6.5,24.0,14.3,51.5,81.1,13.2,2.3,8.2,0,0,0,17355,0,0,19059,15514,0,2568,0,0,0,0,0,15239
24181,1.2,42898,19.0,0.0,0.0,0.0,10.8,10156,190.4,127.0,5.9,23.0,15.8,50.8,97.7,0.4,0.6,1.8,0,0,0,1288,0,0,1929,1588,0,100,0,0,0,0,0,867
44436,2.4,51440,12.9,0.0,0.0,0.0,23.5,11094,411.15,108.1,5.8,23.1,15.6,50.6,96.4,1.2,0.8,3.9,0,0,0,1497,0,0,5044,1215,0,439,0,0,0,0,0,3190
20952,2.0,52991,12.6,0.0,0.0,0.0,21.9,8215,396.74,52.8,5.5,22.6,18.0,49.3,97.6,0.8,0.4,2.8,0,0,0,1030,0,0,2350,1060,0,292,0,0,0,0,0,1378
23363,1.8,40126,16.9,0.0,0.0,0.0,29.7,6730,309.13,75.6,5.8,23.2,16.8,50.4,97.6,0.4,0.3,3.4,0,0,0,1277,0,0,2456,1055,0,128,0,0,0,0,0,1072
34185,2.0,48080,11.5,0.0,0.9,0.8,18.2,17170,308.94,110.7,4.9,21.1,17.2,49.3,97.2,0.9,0.6,3.2,0,0,0,1120,0,0,3973,981,0,614,0,0,0,0,0,2500
21475,1.0,43510,17.9,0.0,0.0,0.0,28.5,6894,447.14,48.0,5.1,20.3,16.3,45.7,93.5,4.7,0.3,1.8,0,0,0,1454,0,0,2379,1058,0,115,0,0,0,0,0,944
10613,1.8,44143,22.2,0.0,0.0,0.0,0.0,2074,220.63,48.1,6.1,24.8,16.3,48.9,97.7,0.8,0.2,1.7,0,0,0,410,0,0,858,430,0,137,0,0,0,0,0,263
172780,10.4,44246,21.6,0.0,4.4,3.4,30.5,12769,499.81,345.7,6.2,20.8,10.3,48.9,85.4,4.9,7.2,8.0,0,0,0,9580,0,0,10296,5998,0,2705,0,0,0,0,0,9460
15936,1.8,52686,9.4,0.0,0.0,0.0,23.5,8473,260.54,61.2,4.3,21.4,19.3,50.1,98.0,0.5,0.5,2.6,0,0,0,606,0,0,2269,437,0,251,0,0,0,0,0,1631
7516,0.8,44161,12.7,0.0,0.0,0.0,0.0,4366,161.22,46.6,4.5,22.8,16.9,50.7,97.3,0.7,0.3,1.4,0,0,0,205,0,0,875,205,0,203,0,0,0,0,0,365
179703,2.5,43540,15.9,2.9,1.5,1.2,25.7,17308,233.48,769.7,6.4,22.0,15.2,51.6,86.5,9.4,1.3,2.5,0,0,0,9132,0,0,14544,7679,0,2168,0,0,0,0,0,9289
16212,0.3,42524,15.8,0.0,3.6,0.0,22.7,11296,256.88,63.1,5.3,22.2,18.6,50.6,98.1,0.4,0.2,1.1,0,0,0,1309,0,0,1748,1074,0,92,0,0,0,0,0,602
107848,3.3,40692,20.0,4.8,3.2,0.6,23.0,15780,403.31,267.4,5.9,20.7,14.5,49.3,88.2,7.2,2.0,2.6,0,0,0,7434,0,0,8539,6042,0,788,0,0,0,0,0,3829
32888,1.6,45286,15.1,0.0,0.0,0.0,30.7,9889,412.43,79.7,5.2,21.6,19.4,51.4,96.8,0.8,0.5,2.4,0,0,0,1080,0,0,3932,906,0,450,0,0,0,0,0,2964
8508,1.1,52317,7.1,0.0,0.0,0.0,28.7,2812,364.68,23.3,5.7,22.5,18.7,50.3,98.3,0.3,0.5,1.4,0,0,0,273,0,0,1321,257,0,114,0,0,0,0,0,583
59689,2.5,62351,9.0,0.0,0.0,0.0,30.3,5794,384.82,155.1,5.7,24.6,16.1,50.6,94.7,1.6,2.0,1.7,0,0,0,3139,0,0,7450,2677,0,957,0,0,0,0,0,4721
28262,0.7,41986,15.1,0.0,0.0,0.0,30.5,6844,513.73,55.0,5.7,23.6,15.4,50.1,98.1,0.4,0.3,1.4,0,0,0,932,0,0,3156,999,0,206,0,0,0,0,0,1542
68917,2.0,38350,21.8,2.2,0.9,0.0,17.4,14748,401.74,171.5,6.2,22.5,17.9,51.5,91.0,5.0,0.8,2.7,0,0,0,2411,0,0,6116,2025,0,1021,0,0,0,0,0,2937
27636,1.2,48136,10.7,0.0,0.0,0.0,0.0,7969,368.09,75.1,6.5,24.1,17.0,50.7,97.6,0.6,0.5,2.5,0,0,0,796,0,0,2777,763,0,349,0,0,0,0,0,3826
24643,3.5,51444,10.8,0.0,0.0,0.0,21.3,11911,505.13,48.8,6.2,23.4,18.8,50.3,97.0,0.8,0.4,7.7,0,0,0,912,0,0,3044,709,0,394,0,0,0,0,0,1753
33292,1.0,51914,8.2,0.0,0.0,0.0,0.0,10547,335.57,99.2,5.8,23.4,16.0,50.1,97.4,0.5,0.4,2.0,0,0,0,1143,0,0,3919,883,0,610,0,0,0,0,0,4064
7682,1.1,47892,9.5,0.0,0.0,0.0,0.0,6546,569.27,13.5,4.8,22.1,22.1,50.9,98.2,0.4,0.5,1.7,0,0,61,132,16,4,104,168,4,2,80,0,11,12,7,104
4029,0.6,45871,11.3,0.0,0.0,0.0,0.0,7950,423.44,9.5,6.5,21.4,22.0,49.9,97.8,0.4,0.6,1.1,0,0,30,86,16,1,68,113,7,10,47,0,3,8,1,81
14330,4.3,48831,12.6,0.0,0.0,0.0,22.8,8922,639.08,22.4,6.1,22.5,21.3,48.8,96.4,1.4,0.5,5.7,0,0,77,296,54,4,193,304,11,2,131,0,9,16,6,183
12887,1.0,39208,15.2,0.0,0.0,0.0,0.0,10331,497.29,25.9,6.0,22.4,21.4,50.6,97.4,0.7,0.4,1.5,0,0,92,226,9,4,292,273,13,4,90,0,44,20,2,269
6119,0.6,48313,9.5,0.0,0.0,0.0,0.0,6083,442.96,13.8,4.6,20.2,24.3,51.6,98.2,0.4,0.5,1.1,0,0,33,112,4,1,99,187,10,5,56,0,20,11,0,135
26076,1.1,56669,8.4,0.0,0.0,0.0,31.2,6645,716.27,36.4,5.7,23.8,16.9,50.3,97.9,0.6,0.3,1.3,0,0,171,528,35,23,410,672,11,27,246,0,34,72,9,596
131090,4.8,45747,17.0,4.1,0.0,0.6,29.1,15224,565.77,231.7,6.1,21.5,14.8,51.1,86.2,9.0,2.0,4.2,0,16,497,3647,131,104,1360,3220,178,53,1551,16,72,357,20,1585
26306,0.9,51826,10.1,0.0,0.0,0.0,0.0,8009,571.57,46.0,5.6,22.7,17.0,49.7,96.8,1.2,0.5,2.4,0,0,177,715,7,40,412,585,31,22,320,0,67,96,19,566
24276,0.6,61216,7.3,0.0,0.0,0.0,30.5,11358,435.48,55.7,5.1,21.8,18.4,50.8,97.0,1.0,0.9,1.4,0,0,134,544,24,16,347,640,38,50,389,16,19,46,19,408
20958,1.0,55553,9.9,0.0,0.0,0.0,18.0,10242,571.02,36.7,6.8,26.6,16.2,50.2,97.8,0.5,0.4,1.4,0,0,82,475,31,15,217,525,14,6,110,0,15,35,4,308
20260,18.6,46951,12.8,0.0,0.0,0.0,26.6,13408,574.92,35.2,7.3,25.3,14.6,49.4,85.9,2.9,8.4,24.8,0,0,97,291,20,7,251,291,23,15,221,17,18,26,22,309
14867,0.6,52026,9.8,0.0,0.0,0.0,0.0,5407,580.13,25.6,6.1,23.6,21.0,50.5,98.1,0.3,0.4,1.1,0,0,108,350,18,6,220,250,24,3,145,0,21,32,1,332
9670,0.7,44484,13.4,0.0,0.0,0.0,0.0,10402,569.97,17.0,5.6,20.6,22.3,48.6,96.4,1.9,0.3,2.0,0,0,37,200,8,5,136,200,10,7,121,0,35,20,19,159
20816,0.8,48361,9.6,0.0,0.0,0.0,23.7,14338,569.44,36.6,6.5,24.1,19.2,51.4,97.5,0.8,0.5,2.3,0,0,69,296,44,7,298,504,60,14,230,0,11,31,5,256
13956,1.0,43481,11.4,0.0,0.0,0.0,0.0,12846,564.27,24.7,5.7,22.6,21.5,50.7,97.6,0.5,0.3,2.4,0,0,142,190,10,15,262,300,34,21,176,10,17,9,13,225
18499,1.3,58088,8.0,0.0,0.0,0.0,0.0,7317,579.44,31.9,5.1,22.9,18.4,50.5,97.4,0.5,0.7,1.8,0,0,100,445,19,9,281,354,17,26,240,0,13,43,6,310
44151,2.1,44795,13.2,0.0,0.0,1.8,22.2,20200,568.31,77.7,5.6,20.5,19.7,51.0,95.7,1.4,1.1,4.3,0,0,184,1108,42,114,597,1091,119,29,446,0,39,78,18,655
12072,0.9,48977,9.7,0.0,0.0,0.0,0.0,11935,576.91,20.9,6.0,21.0,22.4,50.4,97.0,0.9,0.6,3.2,0,0,119,218,11,5,248,181,16,5,243,0,17,12,5,157
12439,1.8,43971,10.3,0.0,0.0,0.0,16.4,8537,504.38,24.7,6.1,23.8,19.4,50.0,98.3,0.6,0.3,2.3,0,0,57,233,27,2,166,360,11,3,143,6,6,18,6,161
9286,5.5,43216,13.7,0.0,0.0,0.0,22.5,10579,431.17,21.5,6.5,24.3,17.6,49.8,96.4,0.9,0.7,12.1,0,0,56,168,9,9,202,232,12,3,88,0,8,15,0,155
16667,2.2,49035,8.9,0.0,0.0,0.0,24.3,17960,567.24,29.4,5.7,22.8,19.6,50.9,97.3,0.7,0.7,3.2,0,0,155,303,8,15,292,296,16,31,149,0,25,28,14,291
18129,1.4,47494,12.5,0.0,0.0,0.0,0.0,9249,778.54,23.3,5.7,22.2,20.9,49.7,97.9,0.7,0.3,1.9,0,0,67,408,26,9,249,392,26,11,109,0,17,29,5,298
49116,1.5,49559,14.0,0.0,0.9,0.0,0.0,12950,694.92,70.7,6.1,22.7,18.3,50.9,94.0,3.2,0.6,2.9,0,0,159,1234,70,26,709,1165,106,41,459,0,15,94,6,621
17096,12.8,46548,15.8,0.0,0.0,0.0,27.8,9840,714.19,23.9,7.2,25.5,16.9,49.0,93.8,2.3,1.7,27.3,0,0,63,208,24,14,214,225,12,8,114,66,7,12,5,226
66135,6.6,73847,6.4,0.6,2.2,1.1,19.9,15813,588.45,112.4,8.2,28.6,11.2,51.0,92.7,1.8,3.6,6.3,0,0,489,1208,133,214,1510,1667,213,167,2469,24,61,276,58,1691
8753,0.8,45040,21.2,0.0,0.0,0.0,0.0,8351,502.19,17.4,8.0,28.9,17.5,50.6,98.3,0.2,0.3,1.2,0,0,38,126,1,8,205,174,10,1,37,0,38,25,0,168
8457,1.5,36326,19.5,0.0,0.0,0.0,0.0,4746,531.88,15.9,5.1,21.8,18.3,49.8,95.3,2.0,0.9,2.6,0,4,80,141,2,4,127,150,5,4,73,4,6,19,4,173
17764,0.8,54076,8.4,0.0,0.0,0.0,29.5,9791,577.76,30.7,5.7,23.8,18.1,50.0,98.4,0.4,0.3,1.1,0,0,92,344,52,5,198,440,19,2,172,16,7,27,3,317
40325,1.5,42451,13.8,0.9,0.0,0.0,26.0,15182,416.12,96.9,6.0,23.0,18.8,50.9,90.4,5.9,0.9,2.9,0,0,212,1066,17,35,659,933,19,20,451,0,31,99,6,613
16667,1.0,56136,7.8,0.0,0.0,0.0,25.6,15386,380.61,43.8,4.9,19.1,24.2,50.2,97.9,0.4,0.6,1.7,0,0,159,358,12,8,342,341,46,27,286,0,15,34,12,260
93653,1.9,51475,10.9,1.1,0.7,0.0,21.7,15538,608.31,154.0,6.1,23.1,16.2,50.6,93.7,3.0,1.4,2.2,0,0,384,2276,97,75,1087,2504,95,54,1060,18,48,230,21,824
10302,5.1,48601,12.5,0.0,0.0,0.0,0.0,8961,395.88,26.0,5.6,21.6,19.2,49.3,93.8,1.0,0.6,10.4,0,0,49,132,8,5,122,168,11,4,46,0,10,4,1,143
20880,0.9,45542,11.5,0.0,0.0,0.0,0.0,7716,730.81,28.6,5.8,21.2,20.4,49.9,96.6,1.2,0.8,2.2,0,5,144,468,18,6,240,525,18,6,180,0,17,27,3,341
16303,1.4,43826,12.6,0.0,0.0,0.0,0.0,9192,500.63,32.6,5.7,23.1,20.7,50.9,95.0,2.0,1.7,2.3,0,0,83,346,8,9,200,453,23,9,105,0,8,10,0,305
10680,5.0,48355,11.1,0.0,0.0,0.0,19.4,6207,581.97,18.4,5.7,22.8,20.1,49.8,96.7,0.9,0.7,11.8,0,0,62,168,5,1,159,226,18,4,105,4,23,23,3,225
7441,0.7,50520,10.2,0.0,0.0,0.0,0.0,13599,511.15,14.6,5.4,22.0,21.6,50.6,97.6,0.7,0.3,2.6,0,0,40,135,0,5,182,120,10,6,77,15,2,11,5,87
9336,1.2,45865,13.0,0.0,0.0,0.0,23.1,9258,569.57,16.4,5.3,22.9,21.4,51.1,97.4,0.6,0.4,2.9,0,0,62,184,2,13,164,215,25,6,77,0,14,14,7,162
12453,0.4,56827,7.0,0.0,0.0,0.0,0.0,9049,501.86,24.8,6.0,23.4,19.8,50.9,98.3,0.5,0.3,1.2,0,0,73,206,10,12,198,186,26,4,261,6,50,32,8,272
10954,1.1,50609,10.3,0.0,0.0,0.0,0.0,8262,590.62,18.5,5.3,22.2,21.7,50.2,98.0,0.3,0.4,2.3,0,0,107,180,18,9,208,220,16,2,118,0,23,28,7,218
15673,2.2,43589,12.3,0.0,0.0,0.0,23.9,9607,576.75,27.2,5.6,23.0,19.4,50.7,95.4,0.8,2.1,5.4,0,0,89,246,14,21,269,353,13,20,159,0,25,48,20,277
11341,1.8,50105,10.4,0.0,0.0,0.0,0.0,10549,571.01,19.9,5.4,22.7,20.2,49.8,97.5,0.7,0.5,3.5,0,0,71,152,19,5,160,240,22,6,132,0,16,21,12,385
17534,2.5,49342,8.6,0.0,0.0,0.0,21.0,9242,569.31,30.8,5.2,21.0,21.2,50.0,96.3,1.5,0.6,4.1,0,0,138,296,25,33,295,403,19,12,225,0,31,45,29,417
14928,0.9,54583,9.6,0.0,0.0,0.0,19.2,6546,696.85,21.4,5.5,22.6,19.1,50.3,97.9,0.4,0.4,1.4,0,0,221,273,24,17,315,226,5,10,112,0,10,17,6,282
20145,3.3,46376,17.9,0.0,0.0,0.0,23.4,10665,434.33,46.4,5.9,22.3,17.6,48.8,92.4,2.6,2.9,4.7,0,0,189,350,18,7,273,350,31,12,228,0,33,30,12,379
9566,1.1,46429,11.6,0.0,0.0,0.0,0.0,8789,473.25,20.2,6.8,25.2,19.7,50.2,97.8,0.8,0.3,1.4,0,0,26,215,3,2,112,184,19,0,89,0,5,5,0,106
9815,2.0,47897,10.2,0.0,0.0,0.0,24.8,8520,434.35,22.6,5.5,22.9,20.3,51.0,97.7,0.7,0.4,4.0,0,0,48,133,6,9,204,166,14,3,111,0,17,16,9,168
7089,0.5,43449,14.4,0.0,0.0,0.0,19.4,8758,431.51,16.4,7.1,23.8,21.6,50.1,97.8,0.4,0.4,2.0,0,0,43,93,32,4,136,106,8,3,135,0,8,7,14,135
16355,1.4,58008,10.9,0.0,0.0,0.0,24.1,13512,586.46,27.9,5.9,23.3,18.0,50.5,97.9,0.7,0.4,2.5,0,0,105,343,25,12,249,357,11,14,163,0,33,56,12,353
19848,0.8,46467,10.5,0.0,0.0,0.0,21.3,10547,636.04,31.2,5.4,22.3,19.8,50.3,96.9,0.6,0.4,1.3,0,0,64,414,21,18,306,450,26,11,169,36,9,34,5,265
36842,1.1,50513,11.8,0.0,0.0,0.0,20.9,7492,730.42,50.4,5.5,22.5,18.0,49.0,96.0,1.9,0.6,1.9,0,0,207,810,31,30,583,927,46,13,417,63,72,100,12,812
16843,12.0,48814,12.4,0.0,0.0,0.0,0.0,21471,435.51,38.7,4.3,16.8,18.8,46.1,85.6,1.9,10.8,2.9,0,0,55,654,11,7,223,245,17,25,104,0,51,67,18,270
130882,9.3,53424,17.7,1.8,2.4,1.6,26.7,13168,614.04,213.1,6.2,20.4,9.9,50.2,85.4,5.9,6.0,5.5,0,0,531,5473,191,171,1394,3700,229,284,2207,26,75,691,37,1413
20638,1.0,55041,8.3,0.0,0.0,0.0,29.9,12629,575.62,35.9,5.2,21.8,18.5,48.1,96.2,2.3,0.6,1.6,0,0,107,480,35,14,258,419,25,6,167,0,6,32,21,363
10511,0.5,42167,13.2,0.0,0.0,0.0,21.6,6236,579.18,18.1,6.3,23.2,20.1,49.8,98.3,0.5,0.2,1.6,0,0,63,140,11,4,220,250,13,5,116,10,23,19,10,216
15543,1.0,51812,8.7,0.0,0.0,0.0,25.8,12670,972.72,16.0,5.5,21.9,22.5,49.8,97.7,0.6,0.5,2.0,0,6,150,213,4,9,224,360,13,15,190,13,27,18,12,285
35862,2.0,42469,15.1,0.0,2.3,0.0,27.8,11745,517.52,69.3,6.2,21.6,18.6,50.1,94.0,3.1,0.6,3.4,0,0,157,770,51,12,409,929,19,16,249,0,26,36,6,334
211226,2.9,57260,9.7,0.7,0.0,0.6,27.1,17502,716.88,294.6,6.3,23.8,14.3,50.6,90.6,4.5,2.2,2.9,0,0,1072,6331,302,276,2344,5733,262,262,2825,35,99,699,56,3422
11387,8.1,50583,12.2,0.0,0.0,0.0,0.0,4798,401.77,28.3,5.3,23.2,16.6,49.3,95.1,1.0,2.1,16.2,0,0,44,168,5,4,261,224,14,5,76,8,31,26,1,257
8898,5.8,43288,17.0,0.0,0.0,0.0,0.0,8919,430.59,20.7,5.6,23.3,21.0,49.6,98.5,0.3,0.3,1.3,0,0,68,120,9,5,159,180,10,0,79,0,18,24,3,213
11581,1.1,52152,8.0,0.0,0.0,0.0,13.2,8113,587.65,19.7,7.3,28.1,16.9,49.8,98.3,0.3,0.3,2.7,0,0,206,113,10,3,173,80,11,6,229,6,3,14,20,432
15679,1.4,57581,8.9,0.0,0.0,0.0,30.5,5253,561.01,27.9,5.8,26.0,16.3,50.2,97.6,0.5,0.5,1.5,0,0,107,280,21,18,373,320,22,11,250,0,34,51,7,452
22381,1.5,47967,15.9,0.0,0.0,0.0,25.4,10995,570.86,39.2,6.1,23.7,16.9,49.6,95.9,1.3,1.2,1.9,0,0,209,306,37,16,421,393,40,8,368,0,49,69,73,669
33309,2.3,54723,9.2,0.0,0.0,0.0,20.0,10201,554.53,60.1,6.1,24.1,16.4,50.1,96.3,1.0,1.4,1.9,0,0,272,624,41,62,539,650,74,30,606,26,74,123,40,1011
40648,12.1,51555,12.1,0.0,0.0,0.0,28.8,10434,572.5,71.0,7.0,24.9,17.5,49.5,92.4,2.0,2.8,19.9,0,0,226,960,57,27,608,839,61,33,502,0,50,75,55,630
15059,0.8,63076,7.0,0.0,0.0,0.0,32.7,5187,437.44,34.4,5.7,24.2,15.8,49.9,96.9,0.6,0.7,2.6,0,0,182,244,23,11,300,255,10,15,265,0,7,33,31,244
10776,1.4,51078,7.1,0.0,0.0,0.0,0.0,8627,469.13,23.0,5.6,23.9,21.5,50.5,98.3,0.6,0.3,1.2,0,0,61,135,55,4,120,260,10,3,56,5,11,34,3,114
9243,0.9,42025,9.0,0.0,0.0,0.0,16.4,10868,694.07,13.3,5.1,21.4,24.6,50.6,97.0,0.5,0.3,2.0,0,0,41,116,6,8,156,180,2,1,94,3,9,8,2,185
7970,4.3,45997,11.8,0.0,0.0,0.0,21.1,8256,433.72,18.4,5.5,23.6,19.0,49.8,97.3,0.6,0.8,2.4,0,0,25,133,4,2,170,129,3,4,97,36,18,23,0,195
10740,1.3,44281,16.1,0.0,0.0,0.0,14.3,8071,424.1,25.3,5.7,22.6,20.8,51.1,97.7,0.4,0.4,3.5,0,0,85,192,27,5,118,108,27,10,124,0,10,26,6,133
42745,6.0,51425,14.4,0.8,0.0,3.3,32.1,10566,437.47,97.7,6.7,25.4,15.0,50.2,94.6,2.2,1.1,17.2,0,0,110,972,43,50,720,828,53,45,635,0,39,131,12,576
14398,2.8,48185,11.3,0.0,0.0,0.0,21.5,12093,573.04,25.1,6.0,23.6,20.6,49.8,97.1,0.9,0.7,4.5,0,0,220,141,10,6,256,152,17,6,281,5,45,19,9,347
6462,4.5,48659,8.6,0.0,0.0,0.0,0.0,6291,398.68,16.2,6.0,23.2,20.2,49.4,97.5,0.4,0.6,6.8,0,0,42,38,7,3,78,56,13,1,56,5,3,8,3,113
15932,2.0,43010,13.9,0.0,0.0,0.0,20.2,10243,534.94,29.8,5.6,20.6,20.8,47.8,94.2,2.4,1.2,2.9,0,0,157,202,8,4,232,197,25,12,156,0,9,13,7,249
9421,1.3,44663,9.2,0.0,0.0,0.0,0.0,6988,563.84,16.7,5.9,22.0,21.4,50.3,97.0,0.9,0.5,2.1,0,0,40,186,9,6,117,213,14,5,94,0,17,15,5,110
24986,1.8,58888,6.4,0.0,0.0,0.0,0.0,12330,862.89,29.0,5.9,25.1,17.6,50.3,97.2,0.5,0.6,4.1,0,0,195,312,19,25,618,387,44,22,373,0,14,34,12,530
7310,1.8,44073,14.2,0.0,0.0,0.0,0.0,10492,577.24,12.7,5.7,22.6,22.3,50.2,96.9,0.9,0.2,3.4,0,0,70,90,5,5,110,198,9,2,65,12,16,13,1,187
430640,8.5,59018,11.8,1.9,2.1,1.8,28.0,16130,573.8,750.5,7.2,25.2,11.7,50.8,86.5,6.7,4.2,8.0,0,0,2297,10526,420,745,6764,12122,1405,773,8365,152,565,1633,234,7864
93158,3.3,51304,13.8,0.0,0.0,1.2,24.1,16784,950.28,98.0,6.5,23.7,15.7,50.9,95.2,1.6,0.8,7.2,0,7,543,1573,80,53,1508,1519,70,127,750,0,25,156,115,942
18914,3.1,50349,12.8,0.0,0.0,0.0,21.4,12932,584.93,32.3,5.2,20.4,19.2,51.1,94.8,1.4,1.8,3.0,0,0,76,475,14,14,258,424,38,18,183,0,30,63,7,282
5131,0.7,44551,13.1,0.0,0.0,0.0,12.1,12562,535.5,9.6,5.8,23.3,25.3,50.8,98.1,0.4,0.4,2.0,0,0,52,67,3,3,106,132,16,0,50,0,14,2,1,84
10350,1.2,48093,8.7,0.0,0.0,0.0,21.5,8983,575.01,18.0,5.4,22.0,22.3,50.9,98.2,0.3,0.4,2.8,0,0,61,135,12,6,212,165,19,7,81,0,18,17,49,187
165224,3.4,52735,13.1,0.0,0.0,1.3,27.0,17574,458.09,360.7,6.6,24.1,14.4,51.0,86.7,7.5,2.5,6.3,0,0,532,4144,219,178,2465,4025,353,436,2553,29,78,486,50,2396
12167,2.0,48783,10.8,0.0,0.0,0.0,19.5,10996,590.78,20.6,5.6,22.7,22.4,50.8,97.7,0.5,0.4,2.3,0,0,109,232,22,10,203,168,9,9,129,0,18,23,6,207
33704,6.3,57227,8.2,0.0,0.0,0.0,18.3,12319,768.33,43.9,7.4,26.9,14.5,49.8,96.6,1.0,1.1,9.8,0,5,686,202,39,24,502,192,76,45,1469,0,35,117,77,1524
89542,8.3,50516,20.9,0.0,2.1,0.0,23.6,11361,572.82,156.3,4.9,17.1,10.7,48.1,88.2,2.8,7.0,3.1,0,0,641,2737,117,166,1152,1862,212,193,2415,0,123,629,62,1815
17767,2.8,51670,11.5,0.0,0.0,0.0,0.0,6366,721.01,24.6,6.0,24.1,19.2,50.9,88.3,0.6,0.4,8.4,0,0,83,423,10,16,350,476,12,12,123,0,33,27,10,307
6317,3.4,43804,14.5,0.0,0.0,0.0,0.0,3906,531.9,11.9,6.3,23.1,21.1,49.3,98.2,0.4,0.3,7.5,0,0,63,60,6,5,140,140,10,6,52,0,9,10,3,74
12534,1.0,44838,16.1,0.0,0.0,0.0,0.0,12759,423.65,29.6,6.1,23.1,18.9,51.3,97.1,1.0,0.6,2.8,0,0,87,268,16,3,194,231,12,7,135,0,28,10,7,203
7570,0.8,43181,16.5,0.0,0.0,0.0,0.0,4810,484.79,15.6,6.7,23.3,20.8,49.2,98.1,0.3,0.5,1.3,0,0,56,106,0,3,151,93,3,1,63,0,51,7,0,196
