Population % Change,2010 Population,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Land Area (Square Miles),Population per Square Mile,No Preference,Uncommitted,Ben Carson,Bernie Sanders,Carly Fiorina,Chris Christie,Donald Trump,Hillary Clinton,Jeb Bush,John Kasich,Marco Rubio,Martin OMalley,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz
-5.4,9045,0.2,502,28,24226,32.9,657,60.3,0,0,36.1,0,33639,3697,4,647.11,14,0,0,19,213,0,0,147,2714,0,10,33,0,0,0,0,59
-3.7,15760,1.2,995,27.1,30051,26.6,882,0,0,0,0,0,86735,4794,8,643.94,24.5,0,0,88,427,0,0,590,2426,0,24,132,0,0,0,0,283
-0.6,17302,2.9,1497,26,41650,14.4,1091,0,0,0,18.2,425821,92574,5559,17,561.75,30.8,0,0,436,163,0,0,1778,1170,0,107,545,0,0,0,0,847
2.6,101547,2.4,9254,20.8,40948,18,10151,12.1,1.4,1.3,25.5,1310677,1909615,19608,311,579.82,175.1,0,0,2310,780,0,0,8171,3044,0,836,3683,0,0,0,0,4558
-1.1,53227,2.2,4000,26.4,37634,16,4337,0,0,0,26.8,1525396,410988,7784,39,1077.87,49.4,0,0,1185,510,0,0,5463,1327,0,310,1847,0,0,0,0,1791
0.4,658466,4.1,46613,23.4,45429,18,55470,23.4,2.4,1.3,29.8,10260950,11066328,16730,2280,1111.28,592.5,0,0,8368,14319,0,0,32853,67357,0,5711,23132,0,0,0,0,22355
-3.3,14564,0.6,1127,25.7,36028,22.3,1340,0,0,0,25.8,234908,70780,4887,0,604.85,24.1,0,0,344,173,0,0,1810,442,0,103,466,0,0,0,0,692
0.4,92709,2.1,7000,24.5,42844,17.2,8317,5.5,0.8,0,27.6,1083658,1131585,12783,54,667.7,138.8,0,0,2151,1745,0,0,7502,3676,0,983,3320,0,0,0,0,3265
-2.5,34339,1,1891,27.8,38551,17.5,2289,0,0,1.1,0,0,166958,4889,0,690.68,49.7,0,0,733,428,0,0,3604,2047,0,196,925,0,0,0,0,1204
9.9,140247,5.1,10045,21.4,43542,22,10319,16.2,2,0,28.2,0,1451634,11099,943,607.54,230.8,0,0,2460,2464,0,0,6934,7137,0,1501,4734,0,0,0,0,4880
9.7,82782,4.3,6964,26.3,48619,14.7,5914,4.8,0.8,1.3,25.8,947299,723200,9785,140,559.94,147.8,0,0,2061,1120,0,0,8198,3199,0,746,3602,0,0,0,0,4082
-6.4,11299,0.2,626,30.4,26230,26.7,682,57.3,0,0,35.2,1156888,103636,8184,5,715.91,15.8,0,0,88,330,0,0,500,3782,0,26,83,0,0,0,0,137
-9.4,21452,1.1,1662,23.1,30724,27.3,1584,66.7,0,0,0,0,87509,3932,1,608.89,35.2,0,0,94,483,0,0,356,4293,0,39,92,0,0,0,0,147
4.6,334811,5.4,34203,21,58434,12.8,26467,12.3,3.5,1.3,29.2,8650700,4438653,14145,2677,801.59,417.7,0,0,6293,8786,0,0,23791,19995,0,3919,17116,0,0,0,0,13622
-4.4,21027,0.7,1462,22.4,35079,24,1604,0,0,0,21.4,542135,197221,9274,0,976.88,21.5,0,0,85,1092,0,0,580,3590,0,26,127,0,0,0,0,228
-1.6,30776,1,2287,24,32888,20.9,2224,0,0,0,0,794483,209924,7116,0,742.29,41.5,0,0,589,256,0,0,3503,567,0,167,921,0,0,0,0,1268
1.7,93019,8,7192,23.9,39526,19.5,8700,0,0.9,1,24.9,3029491,1357696,15434,28,565.84,164.4,0,0,1813,821,0,0,9115,1494,0,595,3785,0,0,0,0,2784
0.5,412992,3.2,33586,23.9,43028,19.8,34836,18.8,2.4,1.2,29.5,12407151,5225494,12895,746,1229.44,335.9,0,0,4824,5672,0,0,28326,28927,0,2893,11850,0,0,0,0,13458
-4.9,23068,0.9,1237,23.3,29203,28.6,2257,23.6,0,0,24.5,1251911,212618,9342,0,1025.68,22.5,0,0,373,205,0,0,1966,2438,0,108,596,0,0,0,0,658
-1.4,229363,4.3,20008,19.3,44790,21.2,21463,35.6,2.4,1.3,30.9,7956627,3238175,14351,734,784.25,292.5,0,0,3379,4266,0,0,10517,28650,0,1953,5570,0,0,0,0,4700
0.1,119490,5.1,9518,23.7,44800,15.7,10034,5.9,1,0,21.3,0,1637628,14222,136,579.34,206.3,0,0,2790,1345,0,0,10909,3897,0,1109,4488,0,0,0,0,4828
-7.1,10591,0.5,670,26.8,28209,25.6,854,55.7,0,0,41.3,0,34121,3181,0,719.66,14.7,0,0,15,389,0,0,192,2575,0,2,33,0,0,0,0,123
3.1,19746,0.3,1610,29.3,28741,27.2,1268,0,0,0,10,107619,113222,5805,3,881.41,22.4,0,0,287,453,0,0,1124,2326,0,65,353,0,0,0,0,658
1.5,32899,4,2516,18.7,33090,27.6,2527,0,0,0,0,0,367926,12189,44,672.09,48.9,0,0,698,379,0,0,2493,2183,0,172,798,0,0,0,0,1092
-1.6,22913,1.7,1598,26.8,35213,24.5,1550,7.1,0,0,0,401677,161410,7209,0,580.55,39.5,0,0,426,328,0,0,2352,1236,0,133,584,0,0,0,0,942
12.6,52947,2.2,5977,23.6,36143,22,3823,33.9,0,1,32.4,0,428236,8526,244,641.14,82.6,0,0,298,988,0,0,1784,4381,0,106,463,0,0,0,0,1016
3.7,83593,1.8,6928,30,50786,15.2,6061,2.4,1.4,0,28.1,985409,581324,7404,80,631.9,132.3,0,0,2093,745,0,0,8596,1808,0,518,2586,0,0,0,0,5178
5.9,195085,6,13991,29,68770,7.9,18393,5.7,0,2,30.5,1723017,2520488,13737,896,784.93,248.5,0,0,5005,3755,0,0,18260,6657,0,2679,12213,0,0,0,0,14005
-4.3,13763,0.9,706,23.4,22186,38,730,57.5,0,0,0,0,59636,4494,3,903.89,15.2,0,0,21,416,0,0,166,2987,0,4,39,0,0,0,0,45
-1.2,82291,1.6,6691,23.9,35439,22.9,4872,0,1.5,0,26.6,9054200,730728,9113,65,736.78,111.7,0,0,1179,782,0,0,6304,5561,0,470,1676,0,0,0,0,2468
-1.1,41616,1.9,3631,23.9,39130,19.8,3528,13,0,0,35,0,362304,8881,16,716.52,58.1,0,0,1006,308,0,0,4658,2658,0,371,1289,0,0,0,0,1325
3.9,194656,3.5,12198,21.8,45408,18.9,14729,13.3,0,0,22.5,10852479,2445850,13664,1375,1321.76,147.3,0,0,3310,3444,0,0,11652,12136,0,1381,6333,0,0,0,0,7789
-2.3,67023,1.2,5353,29.3,37566,20.9,5365,0,0.6,0,23.8,314804,903643,13162,8,791.19,84.7,0,0,1369,727,0,0,8394,1772,0,362,1652,0,0,0,0,3106
-4.3,17581,0.9,1025,31.8,42156,18.4,1288,0,0,0,25.6,1153449,76343,4458,2,1080.21,16.3,0,0,152,562,0,0,1269,1511,0,27,362,0,0,0,0,516
-4.9,11670,0.1,462,21.6,23642,39.2,928,66.2,0,0,37.6,0,75708,6018,0,888.5,13.1,0,0,44,410,0,0,287,3337,0,12,64,0,0,0,0,114
-1.4,24484,1.1,1721,27,32900,24,2380,0,0,0,19.6,797845,166709,6853,7,612.98,39.9,0,0,539,138,0,0,3352,303,0,163,708,0,0,0,0,1076
0.4,71518,1.7,4109,30,31476,36.2,3732,0,0,6.2,0,0,276872,3997,38,11197.52,6.4,0,0,0,1933,0,0,1088,4450,0,133,0,0,0,0,0,938
-3,131346,11.6,18795,18.9,45755,17.1,8740,2.5,2.3,15.5,33,181316,1313671,10284,261,6165.69,21.3,0,0,0,3265,0,0,6339,4654,0,876,0,0,0,0,0,3736
2.4,134421,5.3,8084,18.7,49555,23,11407,0,2.1,5.6,31.1,1526810,1691664,13273,560,18618.89,7.2,0,0,0,6941,0,0,3324,5738,0,742,0,0,0,0,0,2843
-0.9,53597,3.4,6166,20.8,39954,21.6,5250,0,0,0,28.7,0,550763,10545,101,4757.93,11.3,0,0,0,1305,0,0,3065,2196,0,353,0,0,0,0,0,1334
2,37220,5,2695,22.2,44943,22.3,1603,0,0,0,0,0,389416,11211,87,4622.6,8.1,0,0,0,851,0,0,1501,937,0,202,0,0,0,0,0,1606
10.8,8437,4.7,820,17.5,47992,16,538,0,0,0,0,0,35595,4587,1,1843.13,4.6,0,0,0,325,0,0,282,497,0,24,0,0,0,0,0,237
-1.3,20489,13.5,3044,12.4,35776,19.4,1241,0,0,0,32,0,394370,19588,26,4499.63,4.6,0,0,0,259,0,0,940,309,0,61,0,0,0,0,0,242
7.1,3817117,14.9,271518,25.4,53596,16.7,311765,2.4,3.9,9.2,27.3,40182099,58688328,15153,18597,9200.14,414.9,0,0,0,86942,0,0,144522,126988,0,33803,0,0,0,0,0,72216
1.6,200186,6.9,26193,18.9,39200,19.4,14568,1.1,1.6,4.6,25.9,1349965,2837691,14489,535,13311.08,15,0,0,0,2847,0,0,14154,4170,0,1023,0,0,0,0,0,4744
0.6,107449,2.6,7144,22.3,36927,30.3,6709,0,0,0,24.7,0,1237467,11148,191,9950.42,10.8,0,0,0,2621,0,0,3558,4415,0,441,0,0,0,0,0,3481
2.5,980263,12.8,92409,24,45841,19.2,75853,1.3,3.4,14.1,30.1,10365206,11928538,11969,3250,9187.04,106.7,0,0,0,40228,0,0,36804,56317,0,9854,0,0,0,0,0,23137
7,375770,10.1,35852,31.1,50027,15.6,15591,3.1,0,12.7,27,2149874,2033110,6718,1744,5365.61,70,0,0,0,5414,0,0,12182,9771,0,1567,0,0,0,0,0,4079
-1.5,47420,33.5,2223,19.8,37745,26.3,4599,0.6,1.6,47.1,25,0,681267,15958,44,1236.92,38.3,0,0,0,1205,0,0,762,2496,0,180,0,0,0,0,0,451
3.7,211033,6.8,27950,22.2,42987,15.8,23563,0,1,6.9,25.4,763989,2695406,12714,968,8123.5,26,0,0,0,7108,0,0,17005,8401,0,3259,0,0,0,0,0,10547
3.8,195751,25.3,15380,18.8,41595,20.2,10158,0,2.1,33.9,29.8,891604,2004643,10596,594,5513.99,35.5,0,0,0,2156,0,0,4390,4358,0,522,0,0,0,0,0,2556
-2.2,19019,2.2,1389,15.5,39633,15.8,1791,0,0,0,29.4,1702196,286337,14825,18,988.77,19.2,0,0,146,132,0,0,1073,724,0,83,789,0,0,0,0,593
-4.1,21853,2.1,1370,18.5,35683,18.9,1486,0,0,0,19.4,0,170779,7673,0,925.35,23.6,0,0,104,980,0,0,586,1375,0,45,281,0,0,0,0,403
